date,Ndtct,Npct_75,PctRH_75,Npct_50,PctRH_50,Npct_25,PctRH_25,Nfit,SumRH,MaxRH,Tmin,Tavg,Tmax,Temp_BB,Area_BB,Lat,Lon,SATZ
2013-07-17 23:13:27.829,4,1,76.4069,1,76.4069,1,76.4069,3,89.520237,76.4069,0.0,1665.0,1931.0,1643.0,184.983,45.159538,37.886192,22.7217
2013-07-17 23:13:29.608,1,1,0.268141,1,0.268141,1,0.268141,1,0.268141,0.268141,2207.0,2207.0,2207.0,2207.0,0.199199,45.155006,37.877403,22.6617
2013-07-18 22:54:35.692,6,1,99.3742,1,99.3742,2,127.2469,4,128.402532,99.3742,0.0,1942.25,2283.0,1747.0,187.939,45.161526,37.885944,43.7588
2013-07-19 00:34:46.059,5,1,134.196,1,134.196,2,174.4314,4,177.25148,134.196,0.0,1902.5,2199.0,1753.0,250.388,45.162422,37.879917,62.8732
2013-07-19 00:34:47.838,12,1,92.054,2,156.4975,2,156.4975,5,190.65898,92.054,0.0,1848.2,2149.0,1831.0,144.566,45.154503,37.88377,62.9312
2013-07-19 22:35:39.992,6,1,142.418,1,142.418,2,203.4877,4,205.884187,142.418,0.0,1885.75,2105.0,1722.0,285.844,45.160549,37.877369,57.9187
2013-07-19 22:35:41.771,6,1,152.539,1,152.539,1,152.539,4,191.607147,152.539,0.0,1821.5,2086.0,1664.0,350.985,45.156475,37.878685,57.9229
2013-07-20 00:16:08.152,6,1,200.701,1,200.701,1,200.701,5,211.198668,200.701,0.0,1870.6,2361.0,1709.0,414.697,45.157043,37.883381,52.4194
2013-07-20 22:16:40.735,6,1,170.868,1,170.868,3,284.7781,5,309.31854,170.868,0.0,1647.0,2032.0,1845.0,260.036,45.166035,37.880352,67.5806
2013-07-20 22:16:42.514,4,1,226.592,1,226.592,1,226.592,3,268.6717,226.592,0.0,1849.66666666667,2186.0,1784.0,394.474,45.160484,37.876991,67.5737
2013-07-20 23:57:26.687,10,1,110.555,1,110.555,2,152.3114,6,154.369784,110.555,0.0,2012.0,2383.0,1695.0,236.302,45.160122,37.878475,36.7711
2013-07-21 23:38:41.665,2,1,27.2898,1,27.2898,1,27.2898,2,28.82973,27.2898,1705.0,1850.5,1996.0,1705.0,56.9636,45.161732,37.879452,13.7268
2013-07-22 23:19:53.085,2,1,2.58712,1,2.58712,1,2.58712,2,3.144171,2.58712,1550.0,1679.5,1809.0,1550.0,7.90713,45.159313,37.877487,13.954
2013-07-23 23:01:02.727,1,1,4.18064,1,4.18064,1,4.18064,1,4.18064,4.18064,1408.0,1408.0,1408.0,1408.0,18.766,45.16235,37.880936,37.4882
2013-07-24 00:41:05.978,2,1,4.86203,1,4.86203,1,4.86203,1,4.86203,4.86203,0.0,1497.0,1497.0,1497.0,17.064,45.15654,37.87849,65.5724
2013-07-24 00:41:07.757,2,1,3.01445,1,3.01445,1,3.01445,1,3.01445,3.01445,0.0,1483.0,1483.0,1483.0,10.9918,45.158092,37.873001,65.603
